Classificador;Precisão;Recall;F1-Score;Acurácia;Acurácia Balanceada
SVM;69.57;68.35;68.36;68.35;62.99
Floresta Randômica;45.64;51.27;45.71;51.27;30.16
Perceptron Multicamadas;67.46;66.46;64.97;66.46;57.25
Regressão Logística;69.45;68.35;68.34;68.35;60.03
